model,epoch,train_loss,val_loss,lr,is_best
resnet_phys,5,0.000560860166334148,0.00010990550390134255,0.001,0
resnet_phys,6,0.0004841393248657031,9.804025166745608e-05,0.001,0
resnet_phys,7,0.0004244096671204482,8.053808919464548e-05,0.001,0
resnet_phys,8,0.000387606474010806,0.00010697215647436678,0.001,0
resnet_phys,9,0.000356965142645474,0.000152740804796728,0.001,0
resnet_phys,10,0.000320347821862836,6.937563709138582e-05,0.001,0
resnet_phys,11,0.00031681856930788075,0.0023679007607450087,0.001,0
resnet_phys,12,0.0003502887187259538,7.724140005651861e-05,0.001,0
resnet_phys,13,0.0002763905204207237,0.00012951307424499342,0.001,0
resnet_phys,14,0.00026439363076617673,0.0001331424703495577,0.001,0
resnet_phys,15,0.0002707856715457248,0.00022575115627453972,0.001,0
resnet_phys,16,0.00026548740986002874,9.569549827293182e-05,0.001,0
resnet_phys,17,0.00019540423808885472,6.104751412135859e-05,0.0005,0
resnet_phys,18,0.0001853898264813636,4.956558333709836e-05,0.0005,0
resnet_phys,19,0.00017725098762993833,4.711955891068404e-05,0.0005,0
resnet_phys,20,0.0001710481217949252,4.641349125226649e-05,0.0005,0
resnet_phys,21,0.00016831339744651424,8.277070552110671e-05,0.0005,0
resnet_phys,22,0.00016779149504511485,7.567651817730317e-05,0.0005,0
resnet_phys,23,0.00016646046969573944,4.1345581075098985e-05,0.0005,0
resnet_phys,24,0.00016135251943554197,5.198203779873438e-05,0.0005,0
resnet_phys,25,0.00016735963681845792,0.0001540963165477539,0.0005,0
resnet_phys,26,0.000164768575714635,0.00019395783504160742,0.0005,0
resnet_phys,27,0.0001647297531798748,0.0001135885569251453,0.0005,0
resnet_phys,28,0.00017598150809694613,0.00020990975177846848,0.0005,0
resnet_phys,29,0.00017306749163328538,0.00019280649380292743,0.0005,0
resnet_phys,30,0.00011729252825890269,3.894386375361743e-05,0.00025,0
resnet_phys,31,0.0001090956003890772,3.8199117549617465e-05,0.00025,0
resnet_phys,32,0.00010545999401248992,4.889815903734416e-05,0.00025,0
resnet_phys,33,0.0001030605873901264,4.2123700130032376e-05,0.00025,0
resnet_phys,34,0.00010192088500463537,4.4341628449813776e-05,0.00025,0
resnet_phys,35,0.00010032692053521584,4.211355549516156e-05,0.00025,0
resnet_phys,36,9.91291771779236e-05,4.0736886233013744e-05,0.00025,0
resnet_phys,37,0.00010606018059554377,4.267557240867366e-05,0.00025,0
resnet_phys,38,8.845046002650633e-05,3.70367077512977e-05,0.000125,0
resnet_phys,39,8.599627469699564e-05,3.787507759639993e-05,0.000125,0
resnet_phys,40,8.399087014242208e-05,3.609531768752883e-05,0.000125,0
resnet_phys,41,8.210205338296613e-05,3.638470220379532e-05,0.000125,0
resnet_phys,42,8.094940785717752e-05,3.672886841270762e-05,0.000125,0
resnet_phys,43,7.833891749880942e-05,3.6972021803182236e-05,0.000125,0
resnet_phys,44,7.808060056164063e-05,3.721527572061556e-05,0.000125,0
resnet_phys,45,7.615635109965557e-05,4.3591977702841786e-05,0.000125,0
resnet_phys,46,7.388831466236816e-05,3.52122476673685e-05,0.000125,0
resnet_phys,47,7.474547629543979e-05,3.8193388648020726e-05,0.000125,0
resnet_phys,48,7.511620644779343e-05,3.735437944919492e-05,0.000125,0
resnet_phys,49,7.141215077568111e-05,3.872362200636417e-05,0.000125,0
resnet_phys,50,7.036187651400854e-05,4.572732396229791e-05,0.000125,0
resnet_phys,51,6.946685035945848e-05,3.857815891737118e-05,0.000125,0
resnet_phys,52,6.749245447721997e-05,4.186651424349596e-05,0.000125,0
resnet_phys,53,6.0299908466736916e-05,3.4684717592317614e-05,6.25e-05,0
resnet_phys,54,5.932439518959394e-05,3.499224458898728e-05,6.25e-05,0
resnet_phys,55,5.841414901793801e-05,3.628273124108091e-05,6.25e-05,0
resnet_phys,56,5.8109085977775974e-05,3.9117509515878434e-05,6.25e-05,0
resnet_phys,57,5.764959999060791e-05,3.407745277198652e-05,6.25e-05,0
resnet_phys,58,5.613676810237978e-05,3.5137290233979e-05,6.25e-05,0
resnet_phys,59,5.542151083038854e-05,3.641712496212373e-05,6.25e-05,0
resnet_phys,60,5.455609970726073e-05,3.456345138916125e-05,6.25e-05,0
resnet_phys,61,5.3868762888014317e-05,3.45545209517392e-05,6.25e-05,0
resnet_phys,62,5.291522581895281e-05,3.395137435601403e-05,6.25e-05,0
resnet_phys,63,5.290181121489565e-05,3.501002764174094e-05,6.25e-05,0
resnet_phys,64,5.166067261115781e-05,3.465480793461514e-05,6.25e-05,0
resnet_phys,65,5.099451314940649e-05,3.364302215593246e-05,6.25e-05,0
resnet_phys,66,4.9998377258889375e-05,3.8124655962067965e-05,6.25e-05,0
resnet_phys,67,4.914507824362123e-05,3.496823679539375e-05,6.25e-05,0
resnet_phys,68,4.884770716291054e-05,3.3089151989746216e-05,6.25e-05,1
